comment,sentiment,,,,
成长中国已似如大象，再绝无可能隐其身形韬光养晦，想往前走必须面对艰险行程，巨浪冲天，现在西方国家另加“中国公知”一直想看中国的笑话，但一路走来，中国却屡屡让这帮人失望再失望。日出东方，喷薄而出，只要中国能踏实走好每一步，及时纠偏实事求是，百年前西方人眼中的这个差学生，必将登顶,1,,,,
希望这一切早日结束，一切都能回到正轨，我们会越来越幸福的[心],1,,,,
外贸单退到不行啊，国外没有控制下来，今年做出口的提前过冬啊,0,,,,
应该学着适应现在的社会，暂时做不了出口可以做内需,1,,,,
不现实呀，就算做了内贸也不一定有人买呀。这一次疫情真的是把大家的存款都搞少了，很多民营企业破产，员工失业，股市基金和房地产不景气，百姓没法套现，只能减少开销。浙江省为了刺激消费都给百姓发消费劵了，就是为了让市场活起来。,0,,,,
但是严谨来说，出口作为拉动经济的三大马车之一，地位举足轻重。由于疫情，中国包括世界经济目前发展很艰难，我觉得今年目标定在GDP不负增长都不大过分……,0,,,,
新动力，新出发[心],1,,,,
幸得有你，山河无恙[心][心],1,,,,
谢谢你们为湖北拼过命,1,,,,
看哭了[泪][泪],1,,,,
辛苦了[心]欢迎回家,1,,,,
欢迎英雄回家[心][心][心],1,,,,
感恩有你们   感动,1,,,,
请确保每一位都拿到了应得的报酬,1,,,,
致敬英雄！最美工人[中国赞],1,,,,
我国是农民工占比十分高的国家，正是这些基层农民工，才有了我们祖国今天的发展,1,,,,
因为工种的原因他们没有医护人员的出镜率高，但是他们同样是英雄，所有的后勤人员都值得致敬！,1,,,,
在此预言：世界疫情平息过后，农夫与蛇的故事会层出不穷,0,,,,
回来还嫌弃祖国的就不要回来了……,0,,,,
国门为你敞开，你要诚实进来， 欢迎回家，祖国永远是你最大的后盾[心],1,,,,
今天我们90后也可以为社会做出贡献了,1,,,,
致敬新时代最可爱的人，最帅天团[心][心],1,,,,
不公布不知道，一公布吓一跳，这么多…,0,,,,
只要我们开始真实起来 ，一切就都会好起来的。,1,,,,
公开透明??，无症状真的挺可怕，正常人不会去做检查，是不是不做检查肯定就不会知道是不是携带者呢,0,,,,
自己国家的东西哪里由得你们来指指点点[怒][怒] 有能耐自己造！,0,,,,
浙江真的很棒了，在杭州工作，真的感受到了这优秀的学霸作为[心]防控疫情做的认真细致，小区、公共场所、公共交通都还在认真检测，杭州公司企业员工发放500补贴，早晚高峰公共交通免费，还有这次支付宝发放购物券……等等[good][good][good][good]佩服[心][心],1,,,,
小本买卖估计都倒闭的差不多了 连我个人都快活不下去了[跪了][跪了][跪了],0,,,,
我们这好几家小店没熬过疫情，黄了[允悲],0,,,,
这次疫情有多少人失业？有多少门店关门？唉??，但愿以后不再有传染病毒[鲜花],0,,,,
真正的倒闭潮还没有到来，很多企业现在都在硬撑！,0,,,,
英雄的城市苏醒了,1,,,,
就像电脑手机重启之后总会更加流畅，武汉重启后也一定会越来越好,1,,,,
太好哭了！[泪][泪][泪]武汉，重启，我们出发了吗[泪][泪][泪][泪],1,,,,
时隔65天，武汉地铁重启，开往春天的列车,1,,,,
时隔65天，武汉地铁重启，开往春天的列车,1,,,,
真好，这个城市又重启了，别放松，还是要继续戴口罩[作揖][作揖][作揖],1,,,,
感谢所有无私奉献的英雄[心],1,,,,
：谢谢所有医护人员，医者仁心，悲天悯人！,1,,,,
企业就是要这样，做大做强了，要懂得感恩，好样的伊利,1,,,,
能够出湖北的都是健康的，不要一边高喊湖北加油，一边排挤。今年湖北人真的太难了！,1,,,,
国外有些国家对中国的歧视还不够吗？我们中国人不要地域歧视！不要歧视湖北人！不要歧视自己的同胞！[给你小心心][给你小心心],1,,,,
全球已经有不少国家严禁非本国籍人进入，中国大陆也跟进吧！中国香港 澳门已经禁止非本地居民入境了。国内好不容易控制住的疫情不要被境外输入搞到功亏一篑了。全国口岸应该要统一政策凡是进入内地的不分国籍一律自费集中隔离才行。,1,,,,
太棒了！要注意境外输入,1,,,,
加油加油加油 严防境外输入,1,,,,
苏大强，小可爱[哈哈][哈哈],1,,,,
老爷爷太可爱了，祝身体健康??,1,,,,
啊，最近一项一项的政策真的好棒,1,,,,
我以为是新冠疫苗接种[允悲],0,,,,
咱国家政策就是好,1,,,,
现在各行各业复工复产，老旧小区改造如火如荼，请问家庭装修什么时候才能被关注被允许到呢？,0,,,,
：什么时候能装修复工啊，现在既还房贷又交房租，快揭不开锅了[泪],0,,,,
中国加油，一切都会好起来的[加油],1,,,,
我来了，我来了！希望快点过去吧疫情！刚刚看到武汉有了，好难过[给你小心心][给你小心心][给你小心心],1,,,,
还是不能掉以轻心啊,1,,,,
都快要恢复起来了，真好,1,,,,
在调动经济活跃的情况下，依然不能掉以轻心,1,,,,
黑猫白猫 活下来就是好猫 先生存后发展 大家加油！,1,,,,
记得疫情爆发的时候中央就讲过了，疫情对经济的影响是有限的，暂时的，可控的，中国经济长期向好的基本面不会改变，全年将努力打成既定目标,1,,,,
时刻准备着为祖国经济做点小贡献…吃吃吃买买买玩玩玩…,1,,,,
快递一恢复正常运营，我们就忍不住买买买了，等商场都正常运营，大家肯定也去买买买，吃吃的。各个行业都在忍住，来一波大反弹，加油！,1,,,,
武汉封城快2个月了……武汉人呆在家里的努力不能让境外输入给白费了……,0,,,,
做好防护措施，逐步复工复产是必经之路,1,,,,
勤劳作数春秋，人生难得几回休。,0,,,,
把病毒捂死，闷气热死！终极目标！[加油],1,,,,
集市真的是充满生活气息和故事的一个地方,1,,,,
希望媒体多报道下，湖北省特别是武汉市本地医护人员，他们没有欢送仪式，也没有过水门，从疫情开始一直都奋斗在一线[心] 他们也需要被大家认识和关心[抱抱][抱抱],1,,,,
：返校是好事，但是大学生返校以后封闭式管理有什么用。返程客流这么大，冒危险回到学校，就换个地方上网课，毫无意义…,0,,,,
学校自愿开学，但是不返校期末考试毕业缓考，也不能参加小学期影响毕业。返校的还要签免责书，因为是“自愿”,0,,,,
很多学校有很大问题，大浴室，然后天热了怎么带的住口罩，更何况有的学校根本没空调，还有食堂，分批次吃饭基本上没法实行，下课时间都差不多，难道不吃吗，带饭盒可以但是排队又是问题，总之问题太多了,0,,,,
自愿多好，要实验的回去实验，不用实验的给家，线上答辩，我们就只等答辩的开学过去了在学校封闭十四天，一点意义都没有,0,,,,
我是觉得都五月份了 还没开学的非毕业年级确实没必要了 尤其是对于家离学校远的大学生 来回如果坐飞机的话机票好几千 坐火车的话好几十个小时 中途也不敢摘口罩吃饭喝水 没必要这么折腾,0,,,,
打着自愿名义实则拿期末等事让学生不得不回，还讲不讲道理了，说白了就是不想负责人,0,,,,
真的希望强制要求各个学校自愿开学啊，一些学校条件是真的差，去了还要隔离学生就是受罪呢,0,,,,
泪奔啊，我朝阳终于由红变绿了！但，我仍然会坚持戴我的口罩，任由病毒、雾霾、汽车尾气，来吧，统统拒之！,1,,,,
北京开放了，情况就真的好转了！,1,,,,
终于开了！,1,,,,
春暖花开，山河无恙,1,,,,.
注意控制人流,1,,,,
其实这学期不开学也不是不可以啦[可爱],1,,,,
五一劳动节，湖北省居然提前半天口头通知不放假，就基层员工已经上了这么久的班，周末也补班了，就是这么对职工的吗,0,,,,
湖北人民五一要上班！麻烦关注一下给一个说法[泪],0,,,,
上了一个多月的班，自从复工以来，压了近两个月的进度要拼死的往前赶，可真的是好好劳动了，都快累残了[允悲],0,,,,
终于降了啊啊啊啊卧槽！！！！！！ 大学生开学可以安排了吗？？？,1,,,,
湖北大部分市也都是低风险，却依然要隔离。一边强调不歧视湖北人就业，一边强调所有湖北人进京要隔离，sigh,0,,,,
疫情快结束吧，夏天那么热在戴个口罩真不舒服[允悲],1,,,,
出去戴口罩变成常态也挺好。也可以防很多别的病。就是老百姓过了这段时间就不会再戴了,1,,,,
希望疫情尽快过去！大家平平安安,1,,,,
劳动节就要到了，向全世界劳动者致敬！,1,,,,
希望全国都是0,1,,,,
坚持就是胜利，加油,1,,,,
家不要急着挑刺行吗？之前入境的是送回各个地方，现在是全部在深圳隔离，别每次一出个政策，就是才，不是，怎么之类的，麻烦看新闻请看全好吧,0,,,,
疫情快点滚蛋吧！,1,,,,
好消息！好消息！会越来越好的！一定！！！,1,,,,
每一个数字都述说着这个冬天的伟大[心],1,,,,
忽然想起一句话 武汉痊愈那一天才是中国人民的新年[泪],1,,,,
太棒了[拳头]这一天我们等了太久，谢谢每个为战疫付出的你,1,,,,
5.20开始分批， 回去隔离半个月考个试就差不多放假回家了， 外省路费不是钱嘛[挖鼻][挖鼻],0,,,,
既然开学了，学校自然有方案和安排。  别担心这担心那的，总不能一直在家玩吧，人不怕玩废了。,1,,,,
啊啊啊激动 希望高校也能开学[泪],1,,,,
返校也是在寝室上网课 请问有什么意义 我建议出一个自愿返校[微笑],0,,,,
好久不见 终于开学了！！,1,,,,
山东开学吧！！！！@山东省教育厅,1,,,,
在这场战‘疫’中，广大医护工作者被称为‘最美的天使’‘真正的英雄’。其实，没有谁生而英勇，只有选择无畏。,1,,,,
做好隔离别担心，出不来的,1,,,,
没有医护人员的舍命相搏，胜利的曙光不会这么快的到来，你们辛苦了,1,,,,
5月中旬返校再隔离半个月大部分学生都结课了，那返校除了增加感染风险危害社会之外还有什么意义？如果现在还是3月那我完全支持立刻！马上！开学！但是现在都5月了啊！马上结课了回去干嘛？回去和同学见一面然后再挥手说再见？？返校返个寂寞？[费解]让我跨越大半个中国冒着感染危险回去考个试？,0,,,,
千言万语汇成一句：终于！,1,,,,
山东我求求你别开学，我不想开学,0,,,,
现在基本恢复了，饭店 商场都开门了，只是人们心理还有顾虑，客流量没以前大。,0,,,,
我也是，不关注娱乐方面的新闻了，全都看关于疫情的，无论是国外还是国内，我都想看到好消息，因为什么殃及池鱼啊，我希望全世界都好起来，恢复以前正常的生活,1,,,,
本土病例最可怕了 希望早日恢复如初啊,1,,,,
广东加油！！马上要开学了！！,1,,,,
疫情防控，人人有责！口罩继续戴上，公筷时刻备上，少扎堆勤洗手，侥幸心理不能有！,1,,,,
长期共存就要斗争到底 加油！,1,,,,
最后收尾期间更重要，很多人都松懈了，就很容易出事，大家还是要严格到底呀,0,,,,
不用说个别地方，就是黑龙江哈尔滨，有的人真的是太能得瑟了，做完核酸检测还去聚会,0,,,,
我们这边几乎都没有人戴口罩出去了 反正我看到没戴口罩的都绕道走 ??命要紧[允悲],0,,,,
武汉比较偏的区  小农村  村里面每个人  出门都还带着口罩的  太害怕无症状了 还是自己做防护措施,0,,,,
其实戴口罩严重影响了呼吸。。。[允悲][允悲][允悲]尤其是戴眼镜的，镜片上全是雾气好吗？？？总不能每天都是戴隐形眼镜吧[允悲][允悲][允悲][允悲][允悲] 而且现在天气热了，大部分人戴口罩都会把鼻子露出来，其实就是个形式主义而已。。。,0,,,,
对已经开学的学生不应该重视吗？关键还有一些不以为然的学生不戴口罩，不重视[跪了]虽然网课效率确实不高，但是最起码不会聚集，可以自己隔离，难道早早开学真的好嘛？,0,,,,
高校能否落实 有效的防控措施.预案再开学呢？我们已经开学了（南京高校）到现在学校还没发预案 我们该怎么办？？？,0,,,,
我们在高铁上工作的，天天提醒别人戴口罩都提醒得口干舌燥，而且竟然还有人理直气壮的告诉我们说因为国内的疫情过去了，所以他们不戴口罩，到底要怎样才能提起他们的重视，别让我们全国人民的努力功亏一篑,0,,,,
：如果真的加上管理，那就把所有酒吧都给关了，疫情之前酒吧赚的够多了，关一段时间也饿不死他们。现在的年轻人为了享受刺激，仍然在疫情期间去蹦迪，而且都不带口罩，酒吧的杯子沙发每天消毒没有，人流量大空间小，实在不安全。年轻人控制不住自己爱玩，麻烦国家这个做大家长的好好管管！顶我上去,0,,,,
疫情工作还是不能放松！出门做好防护，是对自己负责，也是对他人负责！全国复工在即防护一定要加强再加强！,1,,,,
复工复产就不复学,0,,,,
生活慢慢恢复正轨，一切都在变好……辛苦了为我们拼命的所有工作人员。[心],1,,,,
测完再感染，等于没测。,0,,,,
人口基数太大，地毯式筛查只是浪费时间浪费资源,0,,,,
4亿人，按检测费200/人算得要2800亿，真的有这钱不如投入尽快研究疫苗出来靠谱[二哈],0,,,,
小微企业是经济市场的毛细血管，对稳定社会经济、提供就业岗位、保障基本民生具有重大的促进意义。银税互动“贷”动了小微企业复产扩能，为企业打好疫情防控阻击战提供了坚强的资金支持。,1,,,,
支持好的政策,1,,,,
大学复课是封闭式宿舍网课管理，不能外卖不能快递不能出校门，周围的经济如何被带动呢？而且学校还要承担各种责任，只有两个月就放暑假了，学生来回交通费，口罩等消毒用品自备等等...就生活上的便利角度来说，推荐自愿返校...此条只针对上网课的文科生...理工科实验室，毕业生不在范围,0,,,,
其实如果是封闭管理 我真的不想开学,0,,,,
宿舍学校两点一线，每天封闭就算了，学校的厕所……洗澡……,0,,,,
就怕自愿返校到时候变成强制自愿了……回去也是大概率宿舍上网课，七月份学校莫得空调熬不住啊[泪][伤心],0,,,,
只要疫情没结束 就算十月开学为了安全也要隔离的吧,0,,,,
好的，但是还是不想开学[允悲],0,,,,
我不想开学，在家不香嘛，反正去学校也是上网课，也是封闭式管理[允悲][允悲][允悲],0,,,,
但是我还不想开学[跪了],0,,,,
就等钟老赞成复课了，只要把防护措施做好，开学没什么问题的。,1,,,,
大学生想开学了！大学生想开学了！学校给我抓去吧！,1,,,,
脱贫是好事可喜可贺，但是我有个疑问，疫情还没过去，好多地方都停产，复工也没多久，GDP哪来的？好多地方经济都不是很景气，费解。难道是生产口罩脱贫吗？哪位明白人，告我下，我想不明白,0,,,,
这次疫情深深地感觉到，出生在中国????真的太好了[心][心][心][心]加油啊！！！会好起来的！,1,,,,
总有一些凡人做着不平凡的事。,1,,,,
古稀之年不忘初心，危难之际有情有义。,1,,,,
中医博大精深！,1,,,,
真跟坐牢一样[笑cry][笑cry][笑cry],0,,,,
河北的高中生表示，我们高一开始就一个月只休息两天了，这很正常[允悲][允悲],0,,,,
有1说1强制住校真的合法吗 放在其他地方早就闹起来了吧,0,,,,
什么叫做疫情期间不上班也拿收入?老师平常除了上课，一大堆事，备课，开会，批改作业，辅导学生等等。疫情期间也天天关注学生情况，各种填表，上报学校，上网课，为学生答疑，家长们天天来问什么时候开学，还要耐心地回复！！！！并没有拿了工资不干活！！！！！！！[挖鼻][挖鼻][挖鼻][挖鼻][挖鼻],0,,,,
得这样全封闭75天高三的心理压力太大了。而且生病了什么真的挺麻烦。如果衡水也封两个月，我们真的受不了。一个月已经是极限了。如果学校伙食再不好一点真的不行。,0,,,,
这是什么狗屁政策，高三老师家里没有孩子需要照顾，没有老人需要照顾，全封闭，家人是学校照顾还是教育局照顾啊！又是一个典型的领导一拍脑门想出来的混蛋政策！,0,,,,
太不容易了，希望天道酬勤，加油,1,,,,
武汉好起来了 我们与你们同在 加油武汉[加油],1,,,,
一个星期前，武汉投放2000万消费券，下面一堆在那说，武汉一个人平均1块多一点，政府辣鸡无能，开始舔国外臭脚，现在呢，那些个憨批怎么不出来杠了，给你爷爷出来丢人现眼一下[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜],0,,,,
领个券还要我们特意去下载一些莫名其妙的APP。下载了还不一定都是人人能领上。直接放弃加卸载[允悲],0,,,,
现在的人真是无耻啊 免费发的券还说怎么不是现金 怎么不是全员怎么怎么样 还要出剩余的钱。难道要养着你拉屎撒尿啊。太可怕了。这种人平时估计也就是个废铁。,0,,,,
虽然领了卷，但是还是要出大部分钱，没收入的，不敢随便消费[泪],0,,,,
三月三支付宝有广西消费券，十来张20减5、25减5，几张5减1，还有70减10的等等，然后就被刺激着去买了一堆非必要的东西，现在穷的很彻底[允悲][允悲]券都还没用完还想买[允悲][允悲],0,,,,
有发卷的还不如全武汉检测一遍，大家放心了，自然就能正常生活了，该消费也就消费了，就目前这状态发卷也不顶用，没事都不敢出去的,0,,,,
老人们怎么抢，你告诉我?,0,,,,
说到底还是在帮助店家  可是谁又来帮助普通老百姓呢？没了工作 我拿什么消费？？？,0,,,,
你们饶了我吧 评论大清早给爷整笑了 一天天担心这担心那 [困]啥叫刺激消费？啥叫定向模式？老人咋了？低收入咋了？无语了,0,,,,
既然出门害怕被传染都要戴口罩，为啥还要去旅游[允悲],0,,,,
省特别是武汉市本地医护人员，他们没有欢送仪式，也没有过水门，从疫情开始一直都奋斗在一线[心] 他们也需要被大家认识和关心[抱抱][抱抱],1,,,,
我这大马路上到处口罩随处可见[跪了],0,,,,
：[允悲]希望能早点正大光明摘口罩吃火锅撸串串,1,,,,
现在出门还是一定要戴口罩，避免去人群密集的地方[感冒],1,,,,
武汉学子多难兴邦，高考一定旗开得胜！,1,,,,
好害怕开学做检测[允悲][允悲][允悲],0,,,,
五一假期过后不出现传染，应该就算控制的差不多了吧[哈哈]？！,1,,,,
我觉着五一不出门也不安全，因为不知道有谁跑过来,0,,,,
只有无症状感染者为零的时候，才是真正的结束吧，所以还是得注意 ！,1,,,,
：哎 快点结束吧 每个人健健康康的才是最重要的,1,,,,
不要掉以轻心，注意防范，目前还是口罩带着，人多尽量少去,1,,,,
出院标准不一样，有些地方急着清零早早地就让病人出院了，其实还没好呢！,0,,,,
疫情远未结束啊，出门还是要做好个人防护[拳头][拳头][拳头],0,,,,
：呵，这些大部分都是发给人看的 ，5.1景点人爆满都不怕，学生开学给领导们吓死。不是杠，自从出了开学时间，学校就没说过话，就好像没有这码事一样了，他们想的是过了这学期就万事大吉，下学期又是一个新开始喽，根本就不会在乎宿舍的衣服被子书本，向上报告就是网络教学进程顺利，向下才不管你学的怎样,0,,,,
福建还吹五一1000多万人来旅游[吐]大学生回学校所在地还得处分[吐]敢情所有人都能聚集就大学生不行呗,0,,,,
旅游流动人口成千上万不用隔离，景区爆满也没事，大学生可娇贵了，一上路就专门被无症状感染，一开学就是送命，这种人是不是自己和家人五个月没出过家门啊活在菜地里刀耕火种鲁滨逊漂流呢[太开心][太开心],0,,,,
：[黑线]大学可是全国上上下下成千上万的人的大调动，一个人得病，潜伏，可能会导致大规模传染，现在稳妥一点不香嘛，喷毛啊喷,0,,,,
些都是假的  河南至今没开学一个学生  演练  宣传什么都有  我大河南形式做的最好,1,,,,
说实话真的，教育厅发的这些时间没啥用…学校不敢开的还是不敢开…,0,,,,
境外回来的潜伏期更长，而且更加隐蔽，建议隔离期像哈尔滨一样提高至28天,0,,,,
感动，这个世界总让人心里暖暖的,1,,,,
感动，这个世界总让人心里暖暖的,1,,,,
对吖，湖北所有学校开学教职工学生都检查的，校门口也在装自动测体温消毒设备，湖北那么多人，查出几个很正常，没有才不正常，相比其他省开学不查核酸，湖北的学校安全多了,1,,,,
写新闻的不写清楚，故意让大家人心惶惶，只是为了博人眼球，多加个开学时间，写清楚开学前还是开学后发现，患者有没有去上学不行么？[微笑]做个人吧,0,,,,
所以现在开学真的还是挺危险的[允悲]学校人那么密集，一定要注意啊[允悲],0,,,,
虽然这是个别.但是在全国家长心目中无疑是一个炸弹,0,,,,
无症状真的很难搞，患者自己都不清楚自己的情况。[生病][生病],0,,,,
强烈建议公布无症状的具体省市，或者在哪里可以看到具体信息！,1,,,,
夏天了，病毒也应该结束了， 希望越来越好，加油！,1,,,,
距离恢复线下演唱会又进一步[憧憬],1,,,,
我觉得你说的很对 就算是电影院开门了 不要命了去看 本来就害怕人多发生聚集性传染 那些说一开门就去的怕是不要命了吧...,0,,,,
说的没错，但是我觉得电影院再不开门真的要都倒闭了。,0,,,,
商场里的餐厅和电影院环境其实都差不多，而且餐厅还要脱口罩吃饭…,0,,,,
病死和饿死，哪一个先来,0,,,,
中国加油！全面复工！好开心！,1,,,,
上一次看电影是一月份了,0,,,,
安全最重要！！！还是注意点好,1,,,,
逐步开放的同时还是要绷紧防控弦！决不能前功尽弃！这一切来之不易！中国加油！,1,,,,
终于要迎来回归正常生活了，能去电影院看电影了，真好[心]有好多的电影想看，希望能正常上映[加油][加油][加油],1,,,,
等了好久终于等到今天～大家还是要做好防护喔,1,,,,
想去看新年的时候没能上映的电影,1,,,,
中国加油！才发现能出门，能脱下口罩交谈是件多么幸福的事！,1,,,,
加油！复工啦[能量少女耶][能量少女耶][能量少女耶],1,,,,
上一场电影是2020.01.18在电影院看的《幻灭》，对于一个电影爱好者或者说电影院的忠实拥趸来说，这一年损失惨重 ，错过了太多光影交错的时光。希望都能补回来[给你小心心],1,,,,
聚集性更广的超市、餐馆、KTV什么都逐渐开始复工了，很多超市旅游景点也很多大人带着孩子出门玩…………然而校外很多很多一对一上课的教育培训行业却顶着巨大压力关门了几个月却迟迟还不能复工，盼各行各业都多点关注，早日回归正常[感冒][感冒][感冒]@人民日报,1,,,,
俺只关心，疫情是否能催毁扯蛋的高房价，让年轻人能生活得轻松、愉快些,1,,,,
戴普通口罩上个楼 都会有点喘 戴n95上课 真的不行,0,,,,
我也是[允悲]连普通口罩带一会儿都觉得闷,0,,,,
天气热了 戴着口罩站着不动都闷的难受,0,,,,
体育课还是不戴口罩的好。,0,,,,
不赶进度就学不完，考试题就不会做，学校老师都恨不得把知识塞进学生脑子里，个个都觉得时间紧，你们考虑到这些实际情况了吗？,0,,,,
加大检测和排查力度，坚决防止疫情反弹。,1,,,,
别那么快说不用戴口罩，我们这边大街上很多人都不戴口罩，还随地吐痰[费解],0,,,,
还是网课香 不想开学[喵喵],0,,,,
国产品助力全球抗疫！携手全球抗疫，彰显大国担当！[赞][赞],1,,,,
这得投入多少人力物力，真庆幸生在中国[给你小心心],1,,,,
全面排查操作起来确实很困难，多些理解吧。加油[心][心],1,,,,
说实话这项政策来的有些晚了，如果只是划定一部分区域的话，那人们换个区不就可以了嘛？ 之前又有多少人已经外流了呢？没人说的清楚。 吉林乌拉坚持住!,0,,,,
在网上看到吉林，舒兰封城的景象，看到高三，初三又恢复了网课，仿佛时间倒回到今年二月份的时候，有点想哭。愿疫情早日结束[抱抱][抱抱][抱抱],1,,,,
疫情不停止，口罩进行时！吉林加油！,1,,,,
中国在防止疫情上给全世界做了榜样,1,,,,
听从指挥，不要聚集，不要乱走动了,1,,,,
团结一致，努力奋斗加油东北兄弟,1,,,,
希望早日研究出疫苗,1,,,,
作为外行人我觉得不错。从新发地开始没大规模爆发很不容易。每日增长不算太多就代表离清零不远。坚持住，快到终点。,1,,,,
只要没有人传人就是特大喜事，大家也就更放心,1,,,,
如果当初武汉。医院查到了疾控中心就重视是不是另一个结局？,0,,,,
应该禁止丰台区的居民，去其他区域，甚至其他省份，这样好集中整治，以免病毒大范围扩散,0,,,,
潜伏期都好长，论集中隔离和封闭管理的重要性,0,,,,
北京市作为首都要加紧产业升级、腾笼换鸟，把新发地拆解盖起来CBD就不会有这么多麻烦了,1,,,,
说道这个程度了，已经很明确了。只是不加个总结性词语。反正，大家都不要松懈，敌人是想我们灭国，而不是想我们单纯的死亡而已。,1,,,,
会不会是欧洲或者美国搞进来的？,0,,,,
武汉当初是不是也是这样的？,0,,,,
其实美国不让查真的很诡异。武汉的已经分析彻彻底底的。美国这些骚操作不让人不乱想,0,,,,
境外食品输入可能性最大。,0,,,,
查到最后，肯定会查到国外，但我们又能怎么样呢，我们现在的实力还不允许我们说这是国外下毒，希望十年后我们可以不用这样隐忍。,0,,,,
人为投毒已经跃然纸上了。一是这病毒基因测序的证据，一是专家表示疫情已经得到控制的自信,0,,,,
吴尊友早在央视就分析这个病毒就已经讲得很清楚了：就是外来的，就是欧洲的，而且是现行欧洲病毒的老祖先！！只是最后一句话没说出来：就是美利坚放毒！！,0,,,,
武汉有些人这么敏感吗？ 武汉不能提了？看明白意思了吗？！什么叫饶了武汉吧？竟然还有叫嚣不封城看谁怕谁的  武汉抗疫无疑是英雄的城市 人民是勇敢的人民 付出了多 甚至青春和生命 但有少数人确实垃圾的让人作呕,0,,,,
果然是输入…  全球直逼千万感染，继续严防，期待疫苗。2020都快过半了[伤心] 加油！,1,,,,
逻辑上有漏洞，科学上不严密。 北京6月11日后至今有近三百确诊病例，只用两例毒株并不能覆盖全体，只用两例，置信度极低。要抽样二十例以上，才有代表性，提高置信度。更严密一点，要将北京全部病例毒株分离并测序，判断是否有武汉毒株的继发者，这才是真正严密的科学精神，也是真正对人民负责的态度。,0,,,,
北京本次疫情流行的新冠病毒为L基因型欧洲家系分支Ⅰ，该毒株比当前欧洲流行同型毒株更“老”………,0,,,,
害人之心不可有，防人之心不可无，可总有剑走偏锋的外来，防不胜防啊！大家还需自我做好安全防护。,1,,,,
不懂了，干嘛什么都扯上武汉，到目前为止，武汉大部分菜市场还是关闭状态，自己城市传染途径，还没有发现问题吗？目前看来始发地都是批发市场，集中排查，管理啊，不是说现在只有北京在传染，其他城市不是也应该注意吗？武汉已经够了，不要再过渡关注武汉了，武汉已经承受不起任何风吹草动了，谢谢！,0,,,,
应该是感染了，然后自愈有抗体，身体素质很不错,1,,,,
在疫情聚集爆发又逢公共假日期间他们的行径实在有悖伦理。山水放歌小区存在已十年有余，曾是当年北京市政府推广沟域经济的产物而如今却惨变成浅山区违建需在三日内拆除。完全不顾及当下疫情对住户搬迁的影响更没有考虑他们今后的生活作为一方父母官应该究责。,0,,,,
